image_id,image_path,device_type,field_name,field_label,manual_value,quality_tags
ENG-0001,data/images/ENG-0001.jpg,堆场口,qc_id,桥吊编号,QC-11,occlusion
ENG-0001,data/images/ENG-0001.jpg,堆场口,rtg_id,龙门吊编号,RTG-16,occlusion
ENG-0001,data/images/ENG-0001.jpg,堆场口,yard_gate,堆场口,YARD-E3,occlusion
ENG-0001,data/images/ENG-0001.jpg,堆场口,work_area,作业区域,C-01,occlusion
ENG-0001,data/images/ENG-0001.jpg,堆场口,equipment_status,设备状态,停用,occlusion
ENG-0001,data/images/ENG-0001.jpg,堆场口,date,日期,2026-06-02,occlusion
ENG-0002,data/images/ENG-0002.jpg,龙门吊,qc_id,桥吊编号,QC-28,complex_bg
ENG-0002,data/images/ENG-0002.jpg,龙门吊,rtg_id,龙门吊编号,RTG-28,complex_bg
ENG-0002,data/images/ENG-0002.jpg,龙门吊,yard_gate,堆场口,YARD-B6,complex_bg
ENG-0002,data/images/ENG-0002.jpg,龙门吊,work_area,作业区域,A-30,complex_bg
ENG-0002,data/images/ENG-0002.jpg,龙门吊,equipment_status,设备状态,正常,complex_bg
ENG-0002,data/images/ENG-0002.jpg,龙门吊,date,日期,2026-06-03,complex_bg
ENG-0003,data/images/ENG-0003.jpg,桥吊,qc_id,桥吊编号,QC-31,compression
ENG-0003,data/images/ENG-0003.jpg,桥吊,rtg_id,龙门吊编号,RTG-13,compression
ENG-0003,data/images/ENG-0003.jpg,桥吊,yard_gate,堆场口,YARD-B9,compression
ENG-0003,data/images/ENG-0003.jpg,桥吊,work_area,作业区域,A-03,compression
ENG-0003,data/images/ENG-0003.jpg,桥吊,equipment_status,设备状态,待检,compression
ENG-0003,data/images/ENG-0003.jpg,桥吊,date,日期,2026-06-04,compression
ENG-0004,data/images/ENG-0004.jpg,堆场口,qc_id,桥吊编号,QC-35,blur|noise|tilt
ENG-0004,data/images/ENG-0004.jpg,堆场口,rtg_id,龙门吊编号,RTG-11,blur|noise|tilt
ENG-0004,data/images/ENG-0004.jpg,堆场口,yard_gate,堆场口,YARD-B4,blur|noise|tilt
ENG-0004,data/images/ENG-0004.jpg,堆场口,work_area,作业区域,B-12,blur|noise|tilt
ENG-0004,data/images/ENG-0004.jpg,堆场口,equipment_status,设备状态,正常,blur|noise|tilt
ENG-0004,data/images/ENG-0004.jpg,堆场口,date,日期,2026-06-05,blur|noise|tilt
ENG-0005,data/images/ENG-0005.jpg,桥吊,qc_id,桥吊编号,QC-32,complex_bg
ENG-0005,data/images/ENG-0005.jpg,桥吊,rtg_id,龙门吊编号,RTG-20,complex_bg
ENG-0005,data/images/ENG-0005.jpg,桥吊,yard_gate,堆场口,YARD-D5,complex_bg
